texto_interaccion,intencion_cliente,longitud_texto,contiene_urgencia
ayuda asesor de ventas por favor pucha,Ventas,38,0
oye quiero renovar mi plan osea,Ventas,31,0
oye error en el navegador al abrir la app pucha o sea en el sistema,Soporte,67,0
por favor aplicacion movil no abre se cierra entonces con mi contrato,Soporte,69,0
ayuda pago con tarjeta rechazado mmm resulta que con mi tarjeta,Facturacion,63,0
oye kuiero solisitar un reembolso de sobro e,Soporte,44,0
hola reclamar por cobro excesivo ahh,Reclamos,36,0
hola necesito mi comprobante pucha,Facturacion,34,0
por favor no me carga la pagina web ehh resulta que rapido,Reclamos,58,0
por favor error de login usuario bloqueado pucha,Soporte,48,0
por favor detalles del ciclo de facturacion ehh y sobre mi cuenta,Facturacion,65,0
oye kuiero ber mi estado de suenta mmm,Facturacion,38,0
buenas mi cuenta aparece como suspendida pucha o sea con mi tarjeta,Soporte,67,0
mi internet no funsiona o sea rapido,Soporte,36,0
estimados costos adicionales por activacion este... entonces del servicio,Ventas,73,0
ayuda cuales son las promociones de internet este... o sea rapido,Ventas,65,0
por favor el servicio de internet esta lento mmm,Soporte,48,0
me estan cobrando de mas en la factura ahh o sea de la aplicacion,Facturacion,65,0
ola kuiero aumentar la belosidad sontratada resulta kue son mi sontrato,Ventas,71,0
duda con el desglose del cobro mmm,Facturacion,34,0
ayuda falla de red inalambrisa e entonses aora mismo,Soporte,52,0
hola duda con mi factura del servicio mmm,Facturacion,41,0
estimados quiero comprar un plan ilimitado osea resulta que para hoy mismo,Ventas,74,0
costos adicionales por activacion,Ventas,33,0
ayuda me interesa adkuirir otra linea de serbisio e,Ventas,51,0
ola no ay señal en mi sona mmm o sea sobre mi suenta,Soporte,52,0
ola el internet ba a paso de tortuga este... y son mi sontrato,Soporte,62,0
ayuda pago con tarjeta rechazado este...,Facturacion,40,0
buenas aclaracion de cargos adicionales ahh,Facturacion,43,0
falla tecnica en la red local ehh pero sobre mi cuenta,Soporte,54,0
estimados pagar con tarjeta de credito ehh y de la aplicacion,Facturacion,61,0
buenos dias no recibo correos de verificacion este...,Soporte,53,0
hola el internet va a paso de tortuga pucha,Soporte,43,0
metodos de pago habilitados mmm,Facturacion,31,0
buenos dias mi computador no se conecta al servidor mmm,Facturacion,55,0
por favor cambiar clave de mi red inalambrica y sobre mi cuenta,Soporte,63,0
ayuda cuanto es mi deuda ahh o sea con mi tarjeta,Facturacion,49,0
kuiero somprar un plan ilimitado,Ventas,32,0
estimados mi cuenta aparece como suspendida,Soporte,43,0
ayuda mi internet no funciona osea,Soporte,34,0
quiero ver mi estado de cuenta ahh,Facturacion,34,0
estimados exijo una devolucion por falta de servicio pucha,Reclamos,58,0
por fabor sambiar slabe de mi red inalambrisa a,Soporte,47,0
buenas quiero pasarme a postpago ehh o sea en el sistema,Ventas,56,0
buenas el router tiene la luz roja resulta que sobre mi cuenta,Soporte,62,0
hola la pantalla se queda en blanco osea y de la aplicacion,Soporte,59,0
oye aclaracion de cargos adicionales,Facturacion,36,0
buenas costo de instalacion de la fibra pucha,Ventas,45,0
buenas mi transferencia no pasa este... porque ahora mismo,Facturacion,58,0
buenas deseo adquirir fibra simetrica mmm entonces rapido,Ventas,57,0
por favor quiero darme de baja osea entonces ahora mismo,Reclamos,56,1
estimados el internet va a paso de tortuga este... porque en el sistema,Soporte,71,0
estimados me cobraron doble estoy harto del servicio ahh,Reclamos,56,1
ayuda tienen fibra optica este...,Ventas,33,0
ayuda aplicacion movil no abre se cierra osea,Soporte,45,0
ayuda soporte con la configuracion del proxy,Soporte,44,0
buenos dias soporte tesniso urgente por fabor osea,Soporte,50,1
ayuda exijo solusion inmediata porkue son mi sontrato,Reclamos,53,0
buenos dias no puedo conectar el wifi osea resulta que para hoy mismo,Soporte,69,0
estimados boy a denunsiarlos ante el regulador este...,Reclamos,54,0
oye mi computador no se conecta al servidor ehh resulta que para hoy mismo,Soporte,74,0
estimados duda son mi fastura del serbisio mmm pero son mi sontrato,Facturacion,67,0
oye kuiero somprar un plan ilimitado mmm,Ventas,40,0
estimados no me carga la pagina web pucha,Soporte,41,0
buenas duda con mi factura del servicio pucha resulta que para hoy mismo,Facturacion,72,0
buenos dias mi cuenta registra saldo a favor ehh,Facturacion,48,0
buenas cuales son los requisitos para contratar osea porque ahora mismo,Ventas,71,0
buenos dias mi internet no funsiona mmm,Soporte,39,0
hola solicitar cotizacion corporativa este...,Ventas,45,0
buenas pésima atension al sliente de este bot y del serbisio,Reclamos,60,0
estimados factura duplicada en mi cuenta osea entonces ahora mismo,Facturacion,66,0
oye se desconecta a cada rato porque ahora mismo,Soporte,48,0
por favor la conexion se cae constantemente pucha resulta que ahora mismo,Soporte,73,0
ayuda no puedo ingresar al sistema,Soporte,34,0
catalogo de equipos disponibles osea,Ventas,36,0
ayuda como adquiero un chip nuevo osea,Ventas,38,0
oye factura duplicada en mi cuenta osea,Facturacion,39,0
buenos dias no recibo correos de verificacion osea resulta que con mi tarjeta,Soporte,77,0
por fabor donde pago mi mensualidad osea,Facturacion,40,0
buenos dias falla de red inalambrica y en el sistema,Soporte,52,0
hola costo de instalacion de la fibra pucha pero sobre mi cuenta,Ventas,64,0
por favor mi cuenta aparece como suspendida osea,Soporte,48,0
hola me siento estafado con este plan pucha y rapido,Reclamos,52,1
ola presios del pakuete pusa,Ventas,28,0
por favor tengo un problema de conexion con el servicio ehh porque con mi contrato,Soporte,82,0
factura duplicada en mi cuenta osea entonces para hoy mismo,Facturacion,59,0
duda con mi factura del servicio osea resulta que rapido,Facturacion,56,0
estimados cuales son los requisitos para contratar este...,Ventas,58,0
por favor aclaracion de cargos adicionales este...,Facturacion,50,0
ola error de red al dessargar arsibos pusa,Soporte,42,0
oye llevo dias sin conexion de internet,Reclamos,39,0
buenos dias facturacion de este mes atrasada este...,Facturacion,52,0
por favor quiero afiliar mi pago a debito automatico o sea con mi tarjeta,Facturacion,73,0
donde pago mi mensualidad osea,Facturacion,30,0
estimados factura duplicada en mi cuenta,Facturacion,40,0
no puedo conectar el wifi pucha,Soporte,31,0
oye no resibo sorreos de berifisasion este...,Soporte,45,0
costo de instalacion pucha,Ventas,26,0
costo de instalacion de la fibra pucha pero con mi tarjeta,Ventas,58,0
ayuda la pantalla se kueda en blanso osea,Soporte,41,0
por favor me interesa el servicio hogar entonces rapido,Ventas,55,0
estimados informacion de planes este... pero del servicio,Ventas,57,0
buenas error en el link de pago osea entonces sobre mi cuenta,Facturacion,61,0
estimados la conexion se cae constantemente mmm,Soporte,47,0
buenas pagina web dice error 500 osea,Soporte,37,0
ayuda cambiar mi fecha de vencimiento pucha,Facturacion,43,0
buenas llevo dias sin conexion de internet pucha y del servicio,Reclamos,63,0
ayuda costo de instalacion ahh,Ventas,30,0
hola el internet es una basura,Reclamos,30,1
estimados pesimo soporte de la app ahh resulta que ahora mismo,Reclamos,62,0
ola planes familiares de telefonia e,Ventas,36,0
buenas por que aumento el precio del recibo mmm pero ahora mismo,Facturacion,64,0
ola solisitar sotisasion sorporatiba a,Ventas,38,0
ayuda donde reporto mi comprobante ehh pero con mi contrato,Facturacion,59,0
aplicacion movil no abre se cierra osea,Soporte,39,0
ayuda me gustaria agregar cable a mi paquete ahh,Ventas,48,0
buenos dias me estan cobrando de mas en la factura,Facturacion,50,0
hola mi computador no se conecta al servidor osea,Soporte,49,0
por favor error de red al descargar archivos,Soporte,44,0
hola no tengo acceso al portal de clientes este... entonces del servicio,Soporte,72,0
ola mi transferensia no pasa,Facturacion,28,0
ola no resonose mis sredensiales,Soporte,32,0
buenos dias aclaracion de cargos adicionales,Facturacion,44,0
oye mi transferencia no pasa,Facturacion,28,0
estimados mi modem parpadea sin parar este...,Soporte,45,0
buenas que beneficios tiene el plan premium pucha entonces ahora mismo,Ventas,70,0
buenos dias informacion sobre cobertura de planes osea,Ventas,54,0
por favor nadie atiende mis reclamos ehh,Reclamos,40,0
oye me gustaria agregar cable a mi paquete pucha entonces con mi contrato,Ventas,73,0
buenas quiero darme de baja resulta que para hoy mismo,Reclamos,54,1
estimados no recibo correos de verificacion osea,Soporte,48,0
buenas necesito mi comprobante mmm,Facturacion,34,0
pesimo soporte de la app ehh,Reclamos,28,0
estimados donde pago mi mensualidad resulta que con mi contrato,Facturacion,63,0
